Wed Oct 19 00:22:25 IST 2016
ra0       get_site_survey:
Ch  SSID                             BSSID               Security               Siganl(%)W-Mode  ExtCH  NT WPS DPID
10  HARMEET                          c4:12:f5:08:2f:5e   WPA1PSKWPA2PSK/AES     7        11b/g/n BELOW  In  NO     
11  BansalsNet                       6c:b0:ce:71:ff:94   WPA2PSK/AES            57       11b/g/n NONE   In YES     
11  Jalal                            78:54:2e:92:6b:92   WPA2PSK/TKIP           7        11b/g   NONE   In YES     
11  n@!n!k@                          78:54:2e:92:5c:d8   WPA2PSK/AES            47       11b/g/n BELOW  In YES     
11  m&m                              d8:fe:e3:7b:24:7a   WPA1PSKWPA2PSK/TKIPAES 47       11b/g/n NONE   In YES     
11  shekar                           48:ee:0c:43:94:d2   WPA1PSKWPA2PSK/TKIPAES 0        11b/g/n NONE   In YES     
11  myhotspot                        0c:60:76:0c:07:97   WPA2PSK/AES            13       11b/g   NONE   In  NO     
11  Casper                           a4:2b:8c:e8:44:24   WPA2PSK/AES            0        11b/g/n BELOW  In YES     

Wed Oct 19 09:44:34 IST 2016
ra0       get_site_survey:
Ch  SSID                             BSSID               Security               Siganl(%)W-Mode  ExtCH  NT WPS DPID
1   sanjaynit                        90:8d:78:c2:ea:29   WPA1PSKWPA2PSK/AES     24       11b/g/n NONE   In YES     
1   Tenda_2D6250                     c8:3a:35:2d:62:50   WPAPSK/AES             2        11b/g   NONE   In  NO     
1   Clash of Titans                  90:8d:78:c2:ed:5d   WPAPSK/TKIP            0        11b/g   NONE   In  NO     
1   MyHome4012                       90:8d:78:cd:b4:a3   WPA1PSKWPA2PSK/AES     13       11b/g/n NONE   In  NO     
1   HILLOL/BD                        70:5a:9e:a6:a6:89   WPA1PSKWPA2PSK/TKIPAES 23       11b/g/n NONE   In  NO     
2   SIN                              c0:a0:bb:c7:a4:10   WPA1PSKWPA2PSK/TKIPAES 39       11b/g/n NONE   In YES     
3   G1005                            c4:12:f5:ba:76:22   WPA1PSKWPA2PSK/AES     68       11b/g/n NONE   In  NO     
3   E3003                            18:a6:f7:7a:b4:32   WPA1PSKWPA2PSK/AES     18       11b/g/n ABOVE  In YES     
4   gowthami                         60:e3:27:55:ed:66   WPA2PSK/AES            44       11b/g/n ABOVE  In YES     
5   Ashish                           08:bd:43:64:f5:20   WPA2PSK/AES            5        11b/g/n NONE   In YES     
5   sainilayam                       60:e3:27:55:ec:2a   WPA2PSK/AES            0        11b/g/n ABOVE  In YES     
6   santulucky                       e4:71:85:50:04:84   WPA1PSKWPA2PSK/TKIPAES 50       11b/g/n ABOVE  In  NO     
6   bee..                            e4:71:85:60:02:d4   WPA2PSK/AES            100      11b/g/n ABOVE  In  NO     
7   NETGEAR31                        80:37:73:b0:af:d8   WPA2PSK/AES            99       11b/g/n NONE   In YES     
10  HARMEET                          c4:12:f5:08:2f:5e   WPA1PSKWPA2PSK/AES     10       11b/g/n BELOW  In  NO     
11                                   e4:71:85:30:2f:4c   WPA1PSKWPA2PSK/TKIPAES 23       11b/g/n NONE   In  NO     
11  shekar                           48:ee:0c:43:94:d2   WPA1PSKWPA2PSK/TKIPAES 5        11b/g/n NONE   In YES     
11  BansalsNet                       6c:b0:ce:71:ff:94   WPA2PSK/AES            52       11b/g/n NONE   In YES     
11  Jalal                            78:54:2e:92:6b:92   WPA2PSK/TKIP           10       11b/g   NONE   In YES     
11  n@!n!k@                          78:54:2e:92:5c:d8   WPA2PSK/AES            55       11b/g/n BELOW  In YES     
11  Casper                           a4:2b:8c:e8:44:24   WPA2PSK/AES            0        11b/g/n BELOW  In YES     
11  m&m                              d8:fe:e3:7b:24:7a   WPA1PSKWPA2PSK/TKIPAES 37       11b/g/n NONE   In YES     

