Client_MAC,Rssi0,Rssi1,Connection_Time,EpocTime
54:60:09:F2:D8:92,-73,-78,781,1476478083
A4:77:33:F8:A2:00,-41,-58,779,1476478083
E6:71:85:62:06:38,-60,-67,868,1476478143
E6:71:85:62:06:70,-64,-68,803,1476478143
AC:CF:85:28:94:E2,-64,-70,833,1476478143
54:60:09:2B:81:08,-74,-78,843,1476478143
54:60:09:F4:21:4A,-80,-82,842,1476478143
54:60:09:F2:D8:92,-73,-79,841,1476478143
A4:77:33:F8:A2:00,-42,-58,839,1476478143
E6:71:85:62:06:38,-61,-66,928,1476478203
E6:71:85:62:06:70,-67,-70,863,1476478203
AC:CF:85:28:94:E2,-65,-70,893,1476478203
54:60:09:2B:81:08,-74,-79,903,1476478203
54:60:09:F4:21:4A,-76,-78,902,1476478203
54:60:09:F2:D8:92,-74,-74,901,1476478203
A4:77:33:F8:A2:00,-41,-58,899,1476478203
E6:71:85:62:06:38,-60,-66,988,1476478263
E6:71:85:62:06:70,-65,-69,923,1476478263
AC:CF:85:28:94:E2,-70,-64,953,1476478263
54:60:09:2B:81:08,-74,-78,963,1476478263
54:60:09:F4:21:4A,-75,-77,962,1476478263
54:60:09:F2:D8:92,-74,-76,961,1476478263
A4:77:33:F8:A2:00,-41,-58,959,1476478263
E6:71:85:62:06:38,-61,-67,1051,1476478326
E6:71:85:62:06:70,-65,-71,986,1476478326
AC:CF:85:28:94:E2,-70,-63,1016,1476478326
54:60:09:2B:81:08,-74,-78,1026,1476478326
54:60:09:F4:21:4A,-75,-77,1025,1476478326
54:60:09:F2:D8:92,-75,-75,1024,1476478326
A4:77:33:F8:A2:00,-37,-58,1022,1476478326
E6:71:85:62:06:38,-60,-66,1111,1476478386
E6:71:85:62:06:70,-63,-66,1046,1476478386
AC:CF:85:28:94:E2,-72,-66,1076,1476478386
54:60:09:2B:81:08,-74,-78,1086,1476478386
54:60:09:F4:21:4A,-79,-81,1085,1476478386
54:60:09:F2:D8:92,-73,-79,1084,1476478386
A4:77:33:F8:A2:00,-41,-58,1082,1476478386
E6:71:85:62:06:38,-60,-65,1171,1476478446
E6:71:85:62:06:70,-67,-71,1106,1476478446
AC:CF:85:28:94:E2,-72,-66,1136,1476478446
54:60:09:2B:81:08,-74,-78,1146,1476478446
54:60:09:F4:21:4A,-80,-82,1145,1476478446
54:60:09:F2:D8:92,-73,-80,1144,1476478446
A4:77:33:F8:A2:00,-42,-58,1142,1476478446
E6:71:85:62:06:38,-60,-66,1231,1476478506
E6:71:85:62:06:70,-66,-70,1166,1476478506
AC:CF:85:28:94:E2,-72,-66,1196,1476478506
54:60:09:2B:81:08,-74,-78,1206,1476478506
54:60:09:F4:21:4A,-73,-75,1205,1476478506
54:60:09:F2:D8:92,-73,-79,1204,1476478506
A4:77:33:F8:A2:00,-41,-58,1202,1476478506
E6:71:85:62:06:38,-60,-66,1291,1476478566
E6:71:85:62:06:70,-65,-68,1226,1476478566
AC:CF:85:28:94:E2,-72,-66,1256,1476478566
54:60:09:2B:81:08,-74,-78,1266,1476478566
54:60:09:F4:21:4A,-73,-75,1265,1476478566
54:60:09:F2:D8:92,-74,-80,1264,1476478566
A4:77:33:F8:A2:00,-41,-58,1262,1476478566
E6:71:85:62:06:38,-60,-67,1354,1476478629
E6:71:85:62:06:70,-65,-68,1289,1476478629
AC:CF:85:28:94:E2,-72,-66,1319,1476478629
54:60:09:2B:81:08,-74,-78,1329,1476478629
54:60:09:F4:21:4A,-74,-76,1328,1476478629
54:60:09:F2:D8:92,-73,-80,1327,1476478629
A4:77:33:F8:A2:00,-41,-58,1325,1476478629
E6:71:85:62:06:38,-60,-66,1414,1476478689
E6:71:85:62:06:70,-65,-67,1349,1476478689
54:60:09:2B:81:08,-67,-75,1389,1476478689
54:60:09:F4:21:4A,-72,-74,1388,1476478689
54:60:09:F2:D8:92,-73,-79,1387,1476478689
A4:77:33:F8:A2:00,-41,-58,1385,1476478689
E6:71:85:62:06:38,-61,-67,1474,1476478749
E6:71:85:62:06:70,-67,-69,1409,1476478749
54:60:09:2B:81:08,-74,-78,1449,1476478749
54:60:09:F4:21:4A,-71,-73,1448,1476478749
54:60:09:F2:D8:92,-73,-80,1447,1476478749
A4:77:33:F8:A2:00,-42,-58,1445,1476478749
E6:71:85:62:06:38,-61,-67,1534,1476478809
E6:71:85:62:06:70,-64,-67,1469,1476478809
54:60:09:2B:81:08,-67,-75,1509,1476478809
54:60:09:F4:21:4A,-72,-74,1508,1476478809
54:60:09:F2:D8:92,-73,-80,1507,1476478809
A4:77:33:F8:A2:00,-41,-58,1505,1476478809
E6:71:85:62:06:38,-60,-66,1594,1476478869
E6:71:85:62:06:70,-66,-70,1529,1476478869
54:60:09:2B:81:08,-74,-78,1569,1476478869
54:60:09:F4:21:4A,-70,-72,1568,1476478869
54:60:09:F2:D8:92,-73,-80,1567,1476478869
A4:77:33:F8:A2:00,-41,-58,1565,1476478869
E6:71:85:62:06:38,-61,-67,1657,1476478932
E6:71:85:62:06:70,-67,-70,1592,1476478932
54:60:09:2B:81:08,-68,-75,1632,1476478932
54:60:09:F4:21:4A,-68,-70,1631,1476478932
54:60:09:F2:D8:92,-73,-80,1630,1476478932
A4:77:33:F8:A2:00,-41,-58,1628,1476478932
E6:71:85:62:06:38,-60,-66,1717,1476478992
E6:71:85:62:06:70,-65,-68,1652,1476478992
54:60:09:2B:81:08,-73,-78,1692,1476478992
54:60:09:F4:21:4A,-70,-71,1691,1476478992
54:60:09:F2:D8:92,-74,-80,1690,1476478992
A4:77:33:F8:A2:00,-41,-58,1688,1476478992
E6:71:85:62:06:38,-60,-66,1777,1476479052
E6:71:85:62:06:70,-66,-69,1712,1476479052
54:60:09:2B:81:08,-69,-76,1752,1476479052
54:60:09:F4:21:4A,-79,-81,1751,1476479052
54:60:09:F2:D8:92,-73,-80,1750,1476479052
A4:77:33:F8:A2:00,-41,-58,1748,1476479052
E6:71:85:62:06:38,-60,-66,1837,1476479112
E6:71:85:62:06:70,-66,-69,1772,1476479112
54:60:09:2B:81:08,-73,-77,1812,1476479112
54:60:09:F4:21:4A,-79,-82,1811,1476479112
54:60:09:F2:D8:92,-73,-79,1810,1476479112
A4:77:33:F8:A2:00,-41,-57,1808,1476479112
E6:71:85:62:06:38,-60,-66,1897,1476479172
E6:71:85:62:06:70,-66,-70,1832,1476479172
54:60:09:2B:81:08,-65,-73,1872,1476479172
54:60:09:F4:21:4A,-80,-82,1871,1476479172
54:60:09:F2:D8:92,-73,-80,1870,1476479172
A4:77:33:F8:A2:00,-41,-57,1868,1476479172
E6:71:85:62:06:38,-61,-66,1957,1476479232
E6:71:85:62:06:70,-65,-68,1892,1476479232
54:60:09:2B:81:08,-72,-77,1932,1476479232
54:60:09:F4:21:4A,-78,-80,1931,1476479232
54:60:09:F2:D8:92,-73,-79,1930,1476479232
A4:77:33:F8:A2:00,-41,-58,1928,1476479232
E6:71:85:62:06:38,-60,-66,2017,1476479292
E6:71:85:62:06:70,-65,-68,1952,1476479292
54:60:09:2B:81:08,-64,-73,1992,1476479292
54:60:09:F4:21:4A,-80,-82,1991,1476479292
54:60:09:F2:D8:92,-74,-80,1990,1476479292
A4:77:33:F8:A2:00,-41,-58,1988,1476479292
E6:71:85:62:06:38,-60,-66,2077,1476479352
E6:71:85:62:06:70,-67,-70,2012,1476479352
54:60:09:2B:81:08,-68,-74,2052,1476479352
54:60:09:F4:21:4A,-79,-81,2051,1476479352
54:60:09:F2:D8:92,-73,-79,2050,1476479352
A4:77:33:F8:A2:00,-41,-57,2048,1476479352
E6:71:85:62:06:38,-60,-66,2137,1476479412
E6:71:85:62:06:70,-64,-67,2072,1476479412
54:60:09:2B:81:08,-67,-75,2112,1476479412
54:60:09:F4:21:4A,-78,-79,2111,1476479412
54:60:09:F2:D8:92,-73,-79,2110,1476479412
A4:77:33:F8:A2:00,-42,-58,2108,1476479412
E6:71:85:62:06:38,-61,-67,2200,1476479475
E6:71:85:62:06:70,-66,-70,2135,1476479475
54:60:09:2B:81:08,-66,-74,2175,1476479475
54:60:09:F4:21:4A,-79,-80,2174,1476479475
54:60:09:F2:D8:92,-73,-79,2173,1476479475
A4:77:33:F8:A2:00,-41,-58,2171,1476479475
E6:71:85:62:06:38,-60,-65,2260,1476479535
E6:71:85:62:06:70,-63,-66,2195,1476479535
54:60:09:2B:81:08,-71,-77,2235,1476479535
54:60:09:F4:21:4A,-80,-81,2234,1476479535
54:60:09:F2:D8:92,-74,-80,2233,1476479535
A4:77:33:F8:A2:00,-41,-58,2231,1476479535
E6:71:85:62:06:38,-61,-66,2320,1476479595
E6:71:85:62:06:70,-66,-70,2255,1476479595
54:60:09:2B:81:08,-74,-78,2295,1476479595
54:60:09:F4:21:4A,-80,-82,2294,1476479595
54:60:09:F2:D8:92,-73,-79,2293,1476479595
A4:77:33:F8:A2:00,-41,-58,2291,1476479595
E6:71:85:62:06:38,-60,-66,2380,1476479655
E6:71:85:62:06:70,-66,-69,2315,1476479655
54:60:09:2B:81:08,-70,-75,2355,1476479655
54:60:09:F4:21:4A,-77,-79,2354,1476479655
54:60:09:F2:D8:92,-73,-79,2353,1476479655
A4:77:33:F8:A2:00,-41,-57,2351,1476479655
E6:71:85:62:06:38,-60,-67,2440,1476479715
E6:71:85:62:06:70,-65,-68,2375,1476479715
54:60:09:2B:81:08,-74,-78,2415,1476479715
54:60:09:F4:21:4A,-77,-79,2414,1476479715
54:60:09:F2:D8:92,-73,-76,2413,1476479715
A4:77:33:F8:A2:00,-41,-57,2411,1476479715
Client_MAC,Rssi0,Rssi1,Connection_Time,EpocTime
E6:71:85:62:06:38,-59,-63,23384,1476505377
E6:71:85:62:06:70,-63,-67,23628,1476505377
AC:CF:85:28:94:E2,-64,-72,17760,1476505377
54:60:09:2B:81:08,-68,-76,28077,1476505377
54:60:09:F4:21:4A,-79,-81,28076,1476505377
A4:77:33:F8:A2:00,-41,-57,28073,1476505377
E6:71:85:62:06:38,-59,-63,23444,1476505437
E6:71:85:62:06:70,-62,-66,23688,1476505437
